jobName,vcName,name,uid,submitTime,startTime,endTime,state
SN1SRPUTLAI07_INT_Report_UrlBlock,SN1SRPUTLAI07,INT_Report_UrlBlock,3e312b30-fe1e-4632-bd94-d22ef8212314,9/3/13 12:15,9/3/13 12:20,9/3/13 12:21,CompletedSuccess
SN1SRPUTLAI07_Report_MHV21stats,SN1SRPUTLAI07,Report_MHV21stats,27028d12-cb62-4f00-9f38-8a6253dae5d9,9/3/13 12:18,9/3/13 12:21,9/3/13 12:24,CompletedSuccess
MWUrlModel_Hourly2,,WUrlModel_Hourly2,6b775959-3cb5-4c10-9855-a65217cf4517,9/3/13 12:27,9/3/13 12:35,9/3/13 14:15,CompletedSuccess
SN1SRPUTLAI07_ScomDataForFeaturization,SN1SRPUTLAI07,ScomDataForFeaturization,ded4a23d-adde-40e0-b129-6a8a672decba,9/3/13 12:28,9/3/13 12:28,9/3/13 12:32,CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor,CO1SRPUTLDI04,JMRUrlExtractor,79cca4b8-b0b2-4dcc-972e-51abd32715b8,9/3/13 12:31,9/3/13 12:33,9/3/13 12:47,CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream,SN1SRPUTLXI07,INC_PADMANR_GenerateWindowsStoreMHHourlyStream,46aaff7d-42b4-4930-bd82-123cc14c391f,9/3/13 12:32,9/3/13 12:34,9/3/13 12:36,CompletedSuccess
SN1SRPUTLAI07_INT_Report_MHV22stats,SN1SRPUTLAI07,INT_Report_MHV22stats,4850aa77-7fea-4057-9bb0-43431bad54e4,9/3/13 12:44,9/3/13 12:46,9/3/13 12:47,CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor,CO1SRPUTLDI05,RAPUrlExtractor,3e9a9d63-bb8f-4ba1-874d-2c0018dfca82,9/3/13 12:45,9/3/13 12:46,9/3/13 12:53,CompletedSuccess
SN1SRPUTLAI07_INT_PullTheWebZip,SN1SRPUTLAI07,INT_PullTheWebZip,0ef0ea46-6c1c-43fe-9172-1969e195b113,9/3/13 12:46,9/3/13 12:49,9/3/13 13:17,CompletedSuccess
SN1SRPUTLAI07_INT_Report_UrlBlock,SN1SRPUTLAI07,INT_Report_UrlBlock,1225c320-6eb2-47b2-834e-64374fe29fdb,9/3/13 12:46,9/3/13 12:47,9/3/13 12:48,CompletedSuccess
SN1SRPUTLAI10_INT_MH_RE_retry_VIEW,SN1SRPUTLAI10,INT_MH_RE_retry_VIEW,2138c78f-7ffa-4d84-91e5-7f9194a8bb29,9/3/13 12:48,9/3/13 12:49,9/3/13 12:50,CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors,SN1SRPUTLXI05,EXP_MHViewErrors,44eebf89-e10f-4db2-8bd6-374a1c242b0d,9/3/13 12:48,9/3/13 12:49,9/3/13 12:50,CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware,SN1SRPUTLXI07,INC_PADMANR_MuesMalware,a9f7c8f0-52a8-439b-a116-a59fba0e6768,9/3/13 12:50,9/3/13 12:52,9/3/13 12:52,CompletedFailure
SN1SRPUTLXI05_EXP_FSSEventLogsReports,SN1SRPUTLXI05,EXP_FSSEventLogsReports,ed62d24f-6c72-4730-a62d-676cfee2892a,9/3/13 12:54,9/3/13 12:55,9/3/13 13:01,CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization,SN1SRPUTLJI01,WWATelemetryV5Summarization,f7834c29-4ac1-41fc-89b2-24eb59dbdd4c,9/3/13 12:55,9/3/13 12:56,9/3/13 13:34,CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors,SN1SRPUTLXI06,EXP_TelemetryViewV5Errors,f495f669-25c2-403f-9eaa-11a8d257602f,9/3/13 12:56,9/3/13 12:56,9/3/13 13:00,CompletedSuccess
SN1SRPUTLAI07_ScomDataForFeaturization,SN1SRPUTLAI07,ScomDataForFeaturization,41e1445a-af7a-4720-9143-5cfa331c389a,9/3/13 12:56,9/3/13 13:00,9/3/13 13:04,CompletedSuccess
SN1SRPUTLAI11_INT_Report_BPL_Prod,SN1SRPUTLAI11,INT_Report_BPL_Prod,0d8842c7-775e-4fc0-b650-398acf5c9f96,9/3/13 12:57,9/3/13 13:01,9/3/13 13:03,CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors,SN1SRPUTLXI06,EXP_UrsViewV5Errors,08403f35-976f-4f9f-be77-dc48a931cc49,9/3/13 13:02,9/3/13 13:03,9/3/13 13:06,CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2,SN1SRPUTLXI07,INC_PADMANR_DeletesV2,3c3878a7-74a9-43e7-a5fd-49f267d18b0f,9/3/13 13:11,9/3/13 13:13,9/3/13 13:47,CompletedSuccess
SN1SRPUTLAI07_INT_Report_UrlBlock,SN1SRPUTLAI07,INT_Report_UrlBlock,6140999f-08e9-4457-82e5-08d496bdd3ad,9/3/13 13:17,9/3/13 13:18,9/3/13 13:19,CompletedSuccess
SN1SRPUTLAI09_Report_MHV21stats,SN1SRPUTLAI09,Report_MHV21stats,883e6802-c38a-40f3-82be-e93e65c12e9d,9/3/13 13:18,9/3/13 13:19,9/3/13 13:22,CompletedSuccess
SN1SRPUTLAI07_ScomDataForFeaturization,SN1SRPUTLAI07,ScomDataForFeaturization,9987fcc1-27a6-4497-b89e-8b7169d964b0,9/3/13 13:26,9/3/13 13:27,9/3/13 13:31,CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor,CO1SRPUTLDI05,RAPUrlExtractor,c83c82cf-cfeb-44bb-9c01-d69970bb32ea,9/3/13 13:29,9/3/13 13:30,9/3/13 13:37,CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor,CO1SRPUTLDI04,JMRUrlExtractor,82a4ae6f-8534-4658-a281-5acd62925dce,9/3/13 13:32,9/3/13 13:33,9/3/13 13:50,CompletedSuccess
