name	vcName	jobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI10_Featurizer_Domain_Infrastructure_Safety	SN1SRPUTLAI10	Featurizer_Domain_Infrastructure_Safety	9f373a99-b40a-4648-b23e-fb3eb2d1b690	9/3/13 21:02	9/3/13 21:17	9/4/13 2:11	CompletedSuccess
MWUrlModel_Hourly2		WUrlModel_Hourly2	c3050a11-1e2f-4d35-841d-0a91821948bf	9/3/13 22:27	9/3/13 22:44	9/4/13 1:29	CompletedSuccess
SN1SRPUTLAI07_Featurizer_Ip_Infrastructure_Safety	SN1SRPUTLAI07	Featurizer_Ip_Infrastructure_Safety	e1bd7d21-be18-4ddf-87cd-9273314bfe4f	9/3/13 23:02	9/3/13 23:16	9/4/13 2:51	CompletedSuccess
SN1SRPUTLAI11_Featurizer_HostName_Infrastructure_Safety	SN1SRPUTLAI11	Featurizer_HostName_Infrastructure_Safety	b78366ca-d43f-48f4-951e-ea9f5c0a828a	9/3/13 23:05	9/3/13 23:22	9/4/13 0:45	CompletedSuccess
SN1SRPUTLAI07_INT_PullTheWebZip	SN1SRPUTLAI07	INT_PullTheWebZip	0a0fba69-5855-4d78-9024-5d585835f347	9/3/13 23:22	9/3/13 23:48	9/4/13 0:37	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	34523b3b-6508-49f8-99df-e1853180f104	9/3/13 23:32	9/3/13 23:53	9/4/13 1:10	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2	SN1SRPUTLXI07	INC_PADMANR_DeletesV2	bed3d2c1-72eb-4c5a-9cde-14523137e0b1	9/3/13 23:43	9/4/13 0:37	9/4/13 0:37	CompletedSuccess
SN1SRPUTLAI10_ScomDataForFeaturization	SN1SRPUTLAI10	ScomDataForFeaturization	e31b6bb6-6477-4fc9-bbaa-b5b840cf8251	9/3/13 23:44	9/4/13 0:37	9/4/13 0:41	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	49254f30-ddf0-4f5e-9e17-10d5c5c54eec	9/3/13 23:47	9/4/13 0:41	9/4/13 0:44	CompletedSuccess
SN1SRPUTLAI10_INT_MH_RE_retry_VIEW	SN1SRPUTLAI10	INT_MH_RE_retry_VIEW	60cd9b98-c6c4-48b3-96a0-d4228fa94d2f	9/3/13 23:48	9/4/13 0:44	9/4/13 0:47	CompletedSuccess
SN1SRPUTLAI10_INT_Report_UrlBlock	SN1SRPUTLAI10	INT_Report_UrlBlock	45f561bc-b699-46dd-bedb-a7ecd5b46696	9/3/13 23:52	9/4/13 0:45	9/4/13 0:46	CompletedSuccess
SN1SRPUTLAI11_Report_MHV21stats	SN1SRPUTLAI11	Report_MHV21stats	498fb1a8-706d-40b3-9e3b-6c2b543a4335	9/3/13 23:53	9/4/13 0:46	9/4/13 0:49	CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors	SN1SRPUTLXI05	EXP_MHViewErrors	48a2a2a6-e0da-4c24-a323-543d466c4bb6	9/4/13 0:37	9/4/13 0:47	9/4/13 0:49	CompletedSuccess
SN1SRPUTLXI05_EXP_FSSEventLogsReports	SN1SRPUTLXI05	EXP_FSSEventLogsReports	cea55e5f-6e56-431c-944f-c7cf3360e3b4	9/4/13 0:37	9/4/13 0:49	9/4/13 0:55	CompletedSuccess
SN1SRPUTLAI07_INT_Report_BPL_Prod	SN1SRPUTLAI07	INT_Report_BPL_Prod	24d68356-64b3-404c-bd79-72f65064593c	9/4/13 0:41	9/4/13 0:49	9/4/13 0:52	CompletedSuccess
SN1SRPUTLAI07_INT_Report_MHV22stats	SN1SRPUTLAI07	INT_Report_MHV22stats	1da3c2cc-3556-46f2-8a78-81e81ba45566	9/4/13 0:44	9/4/13 0:52	9/4/13 0:53	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	4c196ac4-28f6-4421-a443-939eb179a59a	9/4/13 0:45	9/4/13 0:53	9/4/13 0:58	CompletedSuccess
