name	vcName	jobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI06_ScomDataForFeaturization	SN1SRPUTLAI06	ScomDataForFeaturization	3d3975af-74de-4127-8b47-5b28652d3784	9/9/13 0:54	9/9/13 0:55	9/9/13 0:57	CompletedSuccess
SN1SRPUTLAI10_Report_MHV21stats	SN1SRPUTLAI10	Report_MHV21stats	8eb9bb01-2c34-4e44-8f55-6ce0895997f6	9/9/13 0:57	9/9/13 0:58	9/9/13 1:02	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	fd7596fe-b4e0-49a8-bdcd-5db7cda511de	9/9/13 1:00	9/9/13 1:01	9/9/13 1:04	CompletedSuccess
SN1SRPUTLAI06_Featurizer_Domain_Infrastructure_Type_BinaryHostingProvider	SN1SRPUTLAI06	Featurizer_Domain_Infrastructure_Type_BinaryHostingProvider	326e36ca-bbd6-4cab-88f7-65e27d9774ce	9/9/13 1:01	9/9/13 1:03	9/9/13 2:03	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	80bca6bb-3d0f-41a9-a277-7b7dd84d3d36	9/9/13 1:01	9/9/13 1:02	9/9/13 1:07	CompletedSuccess
SN1SRPUTLAI06_INT_Report_BPL_Prod	SN1SRPUTLAI06	INT_Report_BPL_Prod	cf21c719-f0b9-4c6b-849a-483e66c3b2c0	9/9/13 1:06	9/9/13 1:07	9/9/13 1:09	CompletedSuccess
SN1SRPUTLAI07_INT_PullTheWebZip	SN1SRPUTLAI07	INT_PullTheWebZip	1ed51772-3886-4422-b872-a82b29854bcc	9/9/13 1:09	9/9/13 1:10	9/9/13 1:26	CompletedSuccess
SN1SRPUTLAI06_MalwareUrlBlockRelated	SN1SRPUTLAI06	MalwareUrlBlockRelated	12763357-9f2e-4b7e-8bb6-e1782d6a3b15	9/9/13 1:09	9/9/13 1:09	9/9/13 1:17	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	eb4b2531-f7ce-407b-a1e4-b54054cfdb10	9/9/13 1:11	9/9/13 1:12	9/9/13 1:13	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	19e39cbf-c6fc-42f7-9fdf-3605681b56e4	9/9/13 1:11	9/9/13 1:13	9/9/13 1:15	CompletedSuccess
SN1SRPUTLAI09_INT_MH_RE_retry_VIEW	SN1SRPUTLAI09	INT_MH_RE_retry_VIEW	2f055304-96c6-4531-936f-8c6fafce15c6	9/9/13 1:11	9/9/13 1:15	9/9/13 1:17	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	c2eb63df-d9df-4084-9a00-9222e136333b	9/9/13 1:16	9/9/13 1:17	9/9/13 1:30	CompletedSuccess
SN1SRPUTLAI09_INT_Report_MHV22stats	SN1SRPUTLAI09	INT_Report_MHV22stats	fc746d8f-c1d5-4943-9e2c-d592769b93ff	9/9/13 1:19	9/9/13 1:20	9/9/13 1:22	CompletedSuccess
SN1SRPUTLAI08_ScomDataForFeaturization	SN1SRPUTLAI08	ScomDataForFeaturization	215974e9-0dbc-4279-906a-13f95b5de67b	9/9/13 1:24	9/9/13 1:25	9/9/13 1:28	CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors	SN1SRPUTLXI06	EXP_UrsViewV5Errors	dc88b2c7-6b97-4b30-8ac9-115308fbff25	9/9/13 1:30	9/9/13 1:31	9/9/13 1:33	CompletedSuccess
SN1SRPUTLAI11_INT_MH_RE_retry_VIEW	SN1SRPUTLAI11	INT_MH_RE_retry_VIEW	5eab74ca-0c67-4958-a5b0-13da64617110	9/9/13 1:32	9/9/13 1:33	9/9/13 1:34	CompletedSuccess
SN1SRPUTLAI08_MalwareUrlBlockRelated	SN1SRPUTLAI08	MalwareUrlBlockRelated	4e2add5e-b0a9-4acd-a77b-e655dee02e55	9/9/13 1:35	9/9/13 1:35	9/9/13 1:43	CompletedSuccess
SN1SRPUTLXI05_EXP_FSSEventLogsReports	SN1SRPUTLXI05	EXP_FSSEventLogsReports	e4423576-4106-4155-ba21-f46811f0308a	9/9/13 1:36	9/9/13 1:37	9/9/13 1:40	CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor	CO1SRPUTLDI04	JMRUrlExtractor	55238834-5762-4f29-ae3d-ea7fedd32415	9/9/13 1:39	9/9/13 1:40	9/9/13 1:43	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2	SN1SRPUTLXI07	INC_PADMANR_DeletesV2	41fa7130-6713-40f3-aece-31233019adf7	9/9/13 1:40	9/9/13 1:42	9/9/13 1:51	CompletedSuccess
