name	vcName	jobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI07_Featurizer_Domain_Infrastructure_Safety	SN1SRPUTLAI07	Featurizer_Domain_Infrastructure_Safety	e9558341-6a48-4f2b-bbb5-09d391435953	9/6/13 21:01	9/6/13 21:05	9/7/13 1:48	CompletedSuccess
SN1SRPUTLAI11_Featurizer_HostName_Infrastructure_Safety	SN1SRPUTLAI11	Featurizer_HostName_Infrastructure_Safety	4a1d6cc4-0235-4183-b0ed-15b584da5134	9/6/13 22:02	9/6/13 22:05	9/7/13 1:08	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	2d8efb2d-0499-4dcf-b2a6-0ce557a09986	9/6/13 22:09	9/6/13 22:10	9/7/13 0:05	CompletedSuccess
SN1SRPUTLAI10_Featurizer_Ip_Infrastructure_Safety	SN1SRPUTLAI10	Featurizer_Ip_Infrastructure_Safety	76d81f0b-a774-41a1-ba97-e5e39d87f6ae	9/6/13 23:02	9/6/13 23:07	9/7/13 1:34	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2	SN1SRPUTLXI07	INC_PADMANR_DeletesV2	5d5f998c-99f9-4bb8-b396-dd267309cc5d	9/6/13 23:08	9/6/13 23:26	9/7/13 0:02	CompletedSuccess
SN1SRPUTLAI10_INT_PullTheWebZip	SN1SRPUTLAI10	INT_PullTheWebZip	0c86b722-c283-4009-9e87-e646d53bb8ec	9/6/13 23:16	9/6/13 23:43	9/7/13 0:19	CompletedSuccess
SN1SRPUTLAI10_ScomDataForFeaturization	SN1SRPUTLAI10	ScomDataForFeaturization	ba7a992c-36dd-432c-a014-7cf5dc519b4a	9/6/13 23:17	9/7/13 0:02	9/7/13 0:19	CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors	SN1SRPUTLXI05	EXP_MHViewErrors	d093eadf-96b7-4113-9a07-443e773ae095	9/6/13 23:24	9/7/13 0:05	9/7/13 0:10	CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors	SN1SRPUTLXI06	EXP_UrsViewV5Errors	f92f55ea-b173-48c0-850a-62dcf49d2c1c	9/6/13 23:26	9/7/13 0:10	9/7/13 0:16	CompletedSuccess
SN1SRPUTLXI05_EXP_FSSEventLogsReports	SN1SRPUTLXI05	EXP_FSSEventLogsReports	af98c053-e8cc-4d23-9126-269051a4c6cf	9/6/13 23:39	9/7/13 0:16	9/7/13 0:21	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	6bd87270-7237-4b39-9ddc-3a2f85908416	9/6/13 23:46	9/7/13 0:19	9/7/13 0:30	CompletedSuccess
SN1SRPUTLAI11_INT_MH_RE_retry_VIEW	SN1SRPUTLAI11	INT_MH_RE_retry_VIEW	92d5cbc5-43bd-4dd1-9411-64b02859a03e	9/6/13 23:47	9/7/13 0:19	9/7/13 0:21	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	7303bf58-ab47-4bc8-8c99-1f8e0f333a70	9/7/13 0:03	9/7/13 0:21	9/7/13 0:24	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	5a230c39-cb0b-4cd3-ae5f-adb01a3a2cda	9/7/13 0:05	9/7/13 0:21	9/7/13 0:24	CompletedSuccess
SN1SRPUTLJI02_WWATelemetryV5Summarization	SN1SRPUTLJI02	WWATelemetryV5Summarization	251bd620-839b-4553-88c3-70657f6a877c	9/7/13 0:10	9/7/13 0:24	9/7/13 1:51	CompletedSuccess
SN1SRPUTLAI10_INT_Report_BPL_Prod	SN1SRPUTLAI10	INT_Report_BPL_Prod	288eb097-125b-4405-b08b-f142d22ae6f3	9/7/13 0:17	9/7/13 0:24	9/7/13 0:27	CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors	SN1SRPUTLXI05	EXP_MHViewErrors	0ef819cd-a359-4b8e-af44-798e8c6da757	9/7/13 0:19	9/7/13 0:27	9/7/13 0:29	CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor	CO1SRPUTLDI04	JMRUrlExtractor	a2c98175-a118-44b4-aafb-8d9ea8bc4fbd	9/7/13 0:22	9/7/13 0:29	9/7/13 0:34	CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors	SN1SRPUTLXI06	EXP_UrsViewV5Errors	c489033f-f584-44f0-853f-3c532bd952fb	9/7/13 0:22	9/7/13 0:30	9/7/13 0:32	CompletedSuccess
SN1SRPUTLAI11_INT_PullTheWebZip	SN1SRPUTLAI11	INT_PullTheWebZip	509c7121-f0a9-4d59-929e-5d30b0a993a0	9/7/13 0:25	9/7/13 0:32	9/7/13 1:02	CompletedSuccess
SN1SRPUTLAI09_ScomDataForFeaturization	SN1SRPUTLAI09	ScomDataForFeaturization	1f1e656c-a62c-4efa-95cc-1c76c111dcbc	9/7/13 0:25	9/7/13 0:34	9/7/13 0:38	CompletedSuccess
MWUrlModel_Hourly2		WUrlModel_Hourly2	12a1d0ce-1578-48fe-b024-86dd844a363d	9/7/13 0:27	9/7/13 0:38	9/7/13 1:44	CompletedSuccess
SN1SRPUTLAI09_INT_Report_MHV22stats	SN1SRPUTLAI09	INT_Report_MHV22stats	4f0a4985-8f0c-4621-a3c2-01a100130878	9/7/13 0:27	9/7/13 1:02	9/7/13 1:04	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2	SN1SRPUTLXI07	INC_PADMANR_DeletesV2	38d6ddc9-3c94-4d50-ae4f-34f8c567c7e5	9/7/13 0:29	9/7/13 1:04	9/7/13 1:04	CompletedSuccess
SN1SRPUTLAI10_Report_MHV21stats	SN1SRPUTLAI10	Report_MHV21stats	bce6f68d-0b11-4322-bfd9-f802b8ff71f2	9/7/13 0:31	9/7/13 1:04	9/7/13 1:08	CompletedSuccess
SN1SRPUTLAI11_MalwareUrlBlockRelated	SN1SRPUTLAI11	MalwareUrlBlockRelated	b95a6e95-d6b7-43db-a3ab-f7c954af2e8e	9/7/13 0:33	9/7/13 0:33	9/7/13 0:42	CompletedSuccess
SN1SRPUTLXI05_EXP_FSSEventLogsReports	SN1SRPUTLXI05	EXP_FSSEventLogsReports	8ddd3ab6-839a-411a-b967-7daa101afc18	9/7/13 0:34	9/7/13 1:08	9/7/13 1:12	CompletedSuccess
SN1SRPUTLAI10_INT_Report_TopTraffic	SN1SRPUTLAI10	INT_Report_TopTraffic	c966aadc-8f81-48bd-b7e2-da5adb25bb85	9/7/13 0:38	9/7/13 1:08	9/7/13 1:08	CompletedSuccess
