9/28/2013 6:42:28 PM	22:00:08.5250000	2.13:50:16.8200000
9/28/2013 7:17:28 PM	00:01:02.9570000	00:00:00
9/28/2013 7:32:28 PM	09:07:55.3110000	11:11:28.9060000
9/28/2013 7:37:28 PM	03:35:41.6750000	02:05:34.5100000
9/28/2013 7:47:28 PM	1.05:15:00.6720000	1.09:28:54.0080000
9/28/2013 8:02:28 PM	17:35:54.9760000	1.18:31:49.1000000
9/28/2013 8:17:28 PM	00:00:45.5280000	00:00:00
9/28/2013 8:42:28 PM	18:10:20.8010000	12:47:49.4790000
9/28/2013 8:47:28 PM	19:21:11.3760000	2.18:59:09.3230000
9/28/2013 9:17:28 PM	00:02:32.5870000	00:00:00
9/28/2013 9:32:28 PM	08:37:36.3140000	14:52:35.9920000
9/28/2013 9:42:28 PM	04:01:07.7650000	01:48:11.4100000
9/28/2013 9:47:28 PM	22:37:28.8780000	2.09:09:20.7360000
9/28/2013 9:57:28 PM	16:39:36.0100000	1.18:18:48.8570000
9/28/2013 10:17:28 PM	00:03:49.4550000	00:00:00
9/28/2013 10:32:28 PM	10:01:31.0210000	13:15:41.6060000
9/28/2013 10:42:28 PM	03:29:58.0210000	02:17:57.4090000
9/28/2013 10:47:28 PM	1.13:35:25.9200000	2.07:56:18.2890000
9/28/2013 11:17:28 PM	00:03:13.2970000	00:00:00
9/28/2013 11:27:28 PM	11:05:50.4570000	14:02:01.7080000
9/28/2013 11:37:28 PM	03:20:36.1530000	01:48:46.8260000
9/28/2013 11:42:28 PM	1.11:09:57.5500000	2.14:08:36.2420000
9/28/2013 11:47:28 PM	00:01:38.5380000	00:00:00
9/28/2013 11:57:28 PM	17:04:34.3570000	1.18:01:03.9210000
