9/27/2013 6:26:28 PM	0	0
9/27/2013 6:29:19 PM	2.01:27:10.7130000	19:00:44.6880000
9/27/2013 6:36:00 PM	19:09:00.4570000	06:12:57.7630000
9/27/2013 6:42:28 PM	00:00:50.5460000	00:00:00
9/27/2013 6:52:28 PM	1.09:24:04.3940000	2.09:45:28.0560000
9/27/2013 7:17:28 PM	07:50:05.8020000	00:58:38.5590000
9/27/2013 7:22:28 PM	13:14:35.7120000	11:20:39.4360000
9/27/2013 7:32:28 PM	23:08:43.1220000	2.13:42:21.6300000
9/27/2013 7:37:28 PM	23:54:54.6170000	1.11:44:22.4670000
9/27/2013 7:42:28 PM	00:00:44.4390000	00:00:00
9/27/2013 8:12:28 PM	04:42:11.7430000	01:54:58.3100000
9/27/2013 8:17:28 PM	09:30:27.7740000	13:31:26.2090000
9/27/2013 8:27:28 PM	22:17:26.0150000	2.04:57:09.7680000
9/27/2013 8:42:28 PM	00:00:49.7040000	00:00:00
9/27/2013 9:17:28 PM	00:02:22.5820000	00:00:00
9/27/2013 9:22:28 PM	10:59:21.3030000	12:39:44.3500000
9/27/2013 9:27:28 PM	1.17:41:36.1370000	4.11:42:47.6750000
9/27/2013 9:42:28 PM	05:45:46.9760000	01:24:45.6220000
9/27/2013 9:47:28 PM	00:01:19.3910000	00:00:00
9/27/2013 10:12:28 PM	09:10:51.8230000	13:25:59.2650000
9/27/2013 10:17:28 PM	00:01:30.0280000	00:00:00
9/27/2013 10:22:28 PM	1.02:11:57.1990000	2.19:04:51.7260000
9/27/2013 10:37:28 PM	03:44:21.2310000	01:57:52.3800000
9/27/2013 10:47:28 PM	00:04:07.0920000	00:00:00
9/27/2013 11:27:28 PM	1.17:23:48.7690000	1.23:14:10.0490000
9/27/2013 11:32:28 PM	1.03:33:18.5770000	2.07:19:12.3470000
9/27/2013 11:57:28 PM	00:00:53.5260000	00:00:00
